radius              radius_sub
2.9769959361957574 2.9769959361957574
2.753961925851114 2.7551382335437307
2.5700858502405746 2.5729016740577846
0.9559482225530564 0.9565543114650402
0.17756592669711188 0.1824885124032228
0.17091105623870878 0.1715981151891509
0.2142273597011033 0.2162935095475166
0.4524001212345316 0.45439699565975555
0.8707080172601732 0.8711913091918815
0.2299966707421572 0.39179524490635603
0.03077866666424129 0.13432384085607096
0.05571771532645449 0.14295525027122633
0.09515755696938773 0.1314106751913868
0.10476283555708449 0.15814233662919097
0.11300995370796728 0.18486586209799086
0.13610509342939114 0.15901605342189543
0.14356835837302034 0.16249951954914824
0.1370622082386617 0.19024407240805302
0.14018479248152207 0.20914847252936458
0.1554533231943524 0.18734930883518633
0.17288994627270685 0.18601644692253352
0.17626339486517226 0.23464190480558403
0.21026563790454814 0.22244665918483172
0.23222449194759706 0.2804079137221384
0.2803688963927575 0.2950084879215655
0.33898854388498717 0.33950832550332954
0.48242759622941966 0.49612707100278736
0.4686643917407743 0.4692981354870872
0.09201227084102165 0.09551456964589652
0.06642516683987788 0.06836423612330761
0.0850978197444878 0.09402960148617374
0.15115842246582556 0.1561264107359554
0.2593530929630527 0.2616910867543341
0.40636458585730334 0.4072435771651897
0.8029661810398259 0.8034595909094523
0.6851141665739954 0.6981138666697195
0.4400943576255953 0.46270142403417386
0.3821587251497607 0.3933764540429125
0.3702977985082445 0.40394787772077584
0.38331128978552714 0.3935287513051622
0.39486754686382625 0.40929898715964413
0.4250836145112708 0.4311272441875051
0.43001167973281623 0.455514355507354
0.39877373834076035 0.420957595174639
0.30041893175278717 0.340975745861442
0.23920982343448935 0.23920982343448935
0.4421618628097582 0.4422211237963295
0.8149246161790707 0.8149655148534416
0.9077792140199232 0.9087193619549718
